size,mac_lanes,clock_mhz,compute_efficiency_assumed,ddr_MBps_assumed,conv_ideal_ms,conv_efficiency_ms,reference_traffic_MB,reference_memory_ms,perfect_overlap_reference_ms,no_overlap_reference_ms
256,128,150,0.6,100,33.70048,56.16746666666666,8.43,84.3,84.3,140.46746666666664
256,128,150,0.6,250,33.70048,56.16746666666666,8.43,33.72,56.16746666666666,89.88746666666667
256,128,150,0.6,500,33.70048,56.16746666666666,8.43,16.86,56.16746666666666,73.02746666666667
256,128,150,0.8,100,33.70048,42.12559999999999,8.43,84.3,84.3,126.4256
256,128,150,0.8,250,33.70048,42.12559999999999,8.43,33.72,42.12559999999999,75.84559999999999
256,128,150,0.8,500,33.70048,42.12559999999999,8.43,16.86,42.12559999999999,58.98559999999999
320,64,100,0.4,100,157.971,394.9275,11.483484,114.83484,394.9275,509.76234
320,64,100,0.4,250,157.971,394.9275,11.483484,45.933936,394.9275,440.86143599999997
320,64,100,0.4,500,157.971,394.9275,11.483484,22.966968,394.9275,417.89446799999996
320,64,100,0.6,100,157.971,263.28499999999997,11.483484,114.83484,263.28499999999997,378.11984
320,64,100,0.6,250,157.971,263.28499999999997,11.483484,45.933936,263.28499999999997,309.218936
320,64,100,0.6,500,157.971,263.28499999999997,11.483484,22.966968,263.28499999999997,286.251968
320,64,100,0.8,100,157.971,197.46375,11.483484,114.83484,197.46375,312.29859
320,64,100,0.8,250,157.971,197.46375,11.483484,45.933936,197.46375,243.397686
320,64,100,0.8,500,157.971,197.46375,11.483484,22.966968,197.46375,220.43071799999998
320,64,150,0.4,100,105.31400000000001,263.28499999999997,11.483484,114.83484,263.28499999999997,378.11984
320,64,150,0.4,250,105.31400000000001,263.28499999999997,11.483484,45.933936,263.28499999999997,309.218936
320,64,150,0.4,500,105.31400000000001,263.28499999999997,11.483484,22.966968,263.28499999999997,286.251968
320,64,150,0.6,100,105.31400000000001,175.52333333333334,11.483484,114.83484,175.52333333333334,290.35817333333335
320,64,150,0.6,250,105.31400000000001,175.52333333333334,11.483484,45.933936,175.52333333333334,221.45726933333336
320,64,150,0.6,500,105.31400000000001,175.52333333333334,11.483484,22.966968,175.52333333333334,198.49030133333335
320,64,150,0.8,100,105.31400000000001,131.64249999999998,11.483484,114.83484,131.64249999999998,246.47734
320,64,150,0.8,250,105.31400000000001,131.64249999999998,11.483484,45.933936,131.64249999999998,177.576436
320,64,150,0.8,500,105.31400000000001,131.64249999999998,11.483484,22.966968,131.64249999999998,154.609468
320,128,100,0.4,100,78.9855,197.46375,11.483484,114.83484,197.46375,312.29859
320,128,100,0.4,250,78.9855,197.46375,11.483484,45.933936,197.46375,243.397686
320,128,100,0.4,500,78.9855,197.46375,11.483484,22.966968,197.46375,220.43071799999998
320,128,100,0.6,100,78.9855,131.64249999999998,11.483484,114.83484,131.64249999999998,246.47734
320,128,100,0.6,250,78.9855,131.64249999999998,11.483484,45.933936,131.64249999999998,177.576436
320,128,100,0.6,500,78.9855,131.64249999999998,11.483484,22.966968,131.64249999999998,154.609468
320,128,100,0.8,100,78.9855,98.731875,11.483484,114.83484,114.83484,213.566715
320,128,100,0.8,250,78.9855,98.731875,11.483484,45.933936,98.731875,144.66581100000002
320,128,100,0.8,500,78.9855,98.731875,11.483484,22.966968,98.731875,121.698843
320,128,150,0.4,100,52.657000000000004,131.64249999999998,11.483484,114.83484,131.64249999999998,246.47734
320,128,150,0.4,250,52.657000000000004,131.64249999999998,11.483484,45.933936,131.64249999999998,177.576436
320,128,150,0.4,500,52.657000000000004,131.64249999999998,11.483484,22.966968,131.64249999999998,154.609468
320,128,150,0.6,100,52.657000000000004,87.76166666666667,11.483484,114.83484,114.83484,202.59650666666667
320,128,150,0.6,250,52.657000000000004,87.76166666666667,11.483484,45.933936,87.76166666666667,133.69560266666667
320,128,150,0.6,500,52.657000000000004,87.76166666666667,11.483484,22.966968,87.76166666666667,110.72863466666668
